    0  319.4475 240.1117   
    1  319.9954 240.2793   
    2  320.9166 239.8443   
    3  320.3431 240.4337   
    4  320.9336 241.9838   
    5  319.0141 242.1985   
    6  320.3083 239.1134   
    7  320.1758 240.1803   
    8  319.9306 240.4882   
    9  321.2631 239.8085   
   10  321.3689 239.9206   
   11  319.5162 241.1142   
   12  317.6424 241.1877   
   13  319.3755 239.8221   
   14  318.0149 237.7491   
   15  319.8744 240.2341   
   16  318.0702 239.4472   
   17  321.5771 241.8556   
   18  323.2010 240.3949   
   19  320.7176 240.2150   
   20  321.3413 240.3834   
   21  321.3432 242.2162   
   22  320.2501 238.6230   
   23  317.4830 239.2971   
   24  317.3806 241.6661   
   25  319.6279 239.5213   
   26  319.2005 239.0354   
   27  320.2643 239.7330   
   28  321.5293 238.5920   
   29  320.5940 240.1906   
   30  320.3951 240.9658   
   31  320.2291 238.5026   
   32  318.9306 239.9071   
   33  319.3985 240.4405   
   34  320.3110 238.3380   
   35  320.3086 239.1288   
   36  319.5353 239.8668   
   37  319.4545 239.0839   
   38  320.5995 239.3555   
   39  319.9551 239.4608   
   40  319.3113 239.3455   
   41  319.4713 240.2031   
   42  321.2421 240.6254   
   43  321.5680 240.1969   
   44  319.7012 239.7571   
   45  320.8457 239.4307   
   46  319.3859 240.8078   
   47  321.1869 239.2938   
   48  320.4337 239.7466   
   49  319.4854 239.1058   
   50  319.7449 241.0739   
   51  317.9902 239.3025   
   52  320.7451 242.8148   
   53  320.4109 239.9496   
   54  320.3301 240.3302   
   55  320.5110 240.7259   
   56  320.6061 239.9042   
   57  319.4792 238.0740   
   58  321.3266 239.3036   
   59  319.8124 237.1830   
   60  321.9325 239.8675   
   61  319.9333 239.3097   
   62  319.2780 241.2650   
   63  320.6126 239.0968   
   64  321.1507 239.6261   
   65  319.8381 241.1624   
   66  321.4763 240.1733   
   67  319.7201 239.9352   
   68  318.6386 240.9359   
   69  321.7067 240.2710   
   70  320.7146 238.0146   
   71  320.8039 239.9531   
   72  320.4279 240.5102   
   73  320.4263 240.0252   
   74  319.5276 240.1800   
   75  320.0982 239.3221   
   76  322.2481 240.5599   
   77  319.6610 238.7317   
   78  321.7900 240.8641   
   79  318.1883 240.6598   
   80  319.8763 240.4089   
   81  319.9338 238.0965   
   82  322.7631 242.6062   
   83  320.8135 240.2814   
   84  318.3765 241.5135   
   85  321.6546 239.1673   
   86  320.3113 239.9714   
   87  318.1992 240.4375   
   88  319.6274 238.9348   
   89  318.1453 239.1107   
   90  320.6718 240.0893   
   91  319.1889 240.5597   
   92  319.0890 240.0399   
   93  318.4931 238.6098   
   94  319.3607 240.2798   
   95  317.5687 239.9550   
   96  320.8544 239.5419   
   97  318.7049 241.3475   
   98  319.4065 240.9926   
   99  319.7714 239.2133   
  100  320.6397 240.1115   
  101  320.2424 240.1871   
  102  318.7571 242.2096   
  103  320.1836 239.0471   
  104  318.3340 240.2566   
  105  321.3658 241.8141   
  106  319.3866 242.3568   
  107  318.9286 239.5527   
  108  317.5665 240.4213   
  109  320.6060 239.2583   
  110  320.8195 238.6608   
  111  321.1859 239.1762   
  112  321.9086 241.4378   
  113  320.6943 239.5663   
  114  321.6683 241.1116   
  115  320.1342 241.0122   
  116  321.6821 238.8270   
  117  321.8054 238.9250   
  118  319.7642 240.4263   
  119  318.4074 239.7767   
  120  320.9108 240.8190   
  121  318.2041 239.5448   
  122  321.1939 238.6907   
  123  320.5154 240.3047   
  124  319.2191 241.8511   
  125  319.8446 240.1751   
  126  320.8678 238.1313   
  127  321.9224 239.9720   
  128  320.4304 241.0090   
  129  320.5401 241.6013   
  130  321.5597 241.2832   
  131  321.8769 239.4643   
  132  320.9758 238.6488   
  133  319.3262 238.1264   
  134  320.4025 240.8414   
  135  321.5745 240.4099   
  136  322.5317 239.6590   
  137  320.0144 239.1950   
  138  320.4650 238.0308   
  139  318.6291 239.1041   
  140  321.0099 239.3063   
  141  319.3189 241.2620   
  142  320.2786 239.3290   
  143  318.3089 239.6084   
  144  319.4476 240.0387   
  145  320.0032 239.6771   
  146  319.9796 237.4519   
  147  319.2918 239.9141   
  148  319.9496 240.3334   
  149  319.4718 242.6735   
  150  322.1231 240.3929   
  151  317.9413 238.1067   
  152  318.8312 239.6753   
  153  319.5886 238.8380   
  154  320.0082 239.8003   
  155  319.5512 236.5830   
  156  322.6857 238.8755   
  157  319.5448 238.9225   
  158  320.9608 238.5968   
  159  320.7340 239.9951   
  160  321.2641 237.8459   
  161  320.6548 239.0937   
  162  320.1951 236.1127   
  163  318.9564 237.6681   
  164  318.0572 235.2208   
  165  320.0316 237.4978   
  166  319.6867 237.8778   
  167  320.6315 237.2237   
  168  319.5029 237.5559   
  169  320.3750 236.4710   
  170  320.9626 238.9893   
  171  318.9803 236.9699   
  172  320.9365 238.0110   
  173  319.2740 238.3224   
  174  320.5012 240.4770   
  175  320.8095 238.0009   
  176  321.4189 239.8864   
  177  320.6727 238.9391   
  178  320.2708 236.4465   
  179  319.3431 237.1251   
  180  320.4345 239.3912   
  181  321.0624 236.4509   
  182  323.6449 237.0631   
  183  319.6253 237.5230   
  184  321.2016 239.3138   
  185  319.4640 238.7981   
  186  320.4671 238.3751   
  187  319.7545 238.3392   
  188  319.0069 239.8201   
  189  320.4596 238.0082   
  190  319.6514 238.4979   
  191  318.1806 237.7232   
  192  319.5949 238.2901   
  193  319.5506 239.7425   
  194  320.0036 238.4476   
  195  319.2282 237.7148   
  196  320.3398 236.7235   
  197  319.0442 238.8278   
  198  319.4443 237.7456   
  199  319.9764 239.2868   
  200  319.5471 238.0801   
  201  319.4839 237.0204   
  202  320.5133 237.4079   
  203  319.0947 238.3709   
  204  320.9014 238.7734   
  205  318.5157 236.6332   
  206  320.6171 236.5636   
  207  320.1637 236.4762   
  208  320.6491 237.2751   
  209  320.3894 238.1025   
  210  320.6973 238.4121   
  211  321.1078 236.3858   
  212  317.5145 240.0975   
  213  321.1726 239.3902   
  214  319.0339 238.1052   
  215  319.5282 236.8564   
  216  318.5152 237.6016   
